DATE_FROM;DATE_TO;GATE_OPEN_TIME;GATE_COSURE_TIME;ALLOCATION_DEADLINE;TENDER_TYPE;ROUND;TYPE_OF_RESERVES;PRODUCT;TOTAL_DEMAND_[MW];GERMANY_DEMAND_[MW];GERMANY_CORE_PORTION_[MW];50HERTZ_CORE_PORTION_[MW];AMPRION_CORE_PORTION_[MW];TENNET_CORE_PORTION_[MW];TRANSNETBW_CORE_PORTION_[MW]
23.01.2017;29.01.2017;13.01.2017 12:00;18.01.2017 15:00;18.01.2017 16:00;WA;1;SRL;POS_HT;1902;1902;0;0;0;0;0
23.01.2017;29.01.2017;13.01.2017 12:00;18.01.2017 15:00;18.01.2017 16:00;WA;1;SRL;POS_NT;1902;1902;0;0;0;0;0
30.01.2017;05.02.2017;20.01.2017 12:00;25.01.2017 15:00;25.01.2017 16:00;WA;1;SRL;NEG_HT;1832;1832;0;0;0;0;0
30.01.2017;05.02.2017;20.01.2017 12:00;25.01.2017 15:00;25.01.2017 16:00;WA;1;SRL;NEG_NT;1832;1832;0;0;0;0;0
30.01.2017;05.02.2017;20.01.2017 12:00;25.01.2017 15:00;25.01.2017 16:00;WA;1;SRL;POS_HT;1902;1902;0;0;0;0;0
30.01.2017;05.02.2017;20.01.2017 12:00;25.01.2017 15:00;25.01.2017 16:00;WA;1;SRL;POS_NT;1902;1902;0;0;0;0;0
06.02.2017;12.02.2017;27.01.2017 12:00;01.02.2017 15:00;01.02.2017 16:00;WA;1;SRL;NEG_HT;1832;1832;0;0;0;0;0
06.02.2017;12.02.2017;27.01.2017 12:00;01.02.2017 15:00;01.02.2017 16:00;WA;1;SRL;NEG_NT;1832;1832;0;0;0;0;0
06.02.2017;12.02.2017;27.01.2017 12:00;01.02.2017 15:00;01.02.2017 16:00;WA;1;SRL;POS_HT;1902;1902;0;0;0;0;0
06.02.2017;12.02.2017;27.01.2017 12:00;01.02.2017 15:00;01.02.2017 16:00;WA;1;SRL;POS_NT;1902;1902;0;0;0;0;0
